#,Date,"Full Range, μS/cm (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)",Specific_Conductance
5984,4/13/2022 0:30,3,20.89,76.9
5985,4/13/2022 0:45,13.3,20.84,341.5
5986,4/13/2022 1:00,3,20.61,77.4
5987,4/13/2022 1:15,13.3,20.3,345.7
5988,4/13/2022 1:30,13.3,20.01,348
5989,4/13/2022 1:45,13.3,19.75,350.1
5990,4/13/2022 2:00,13.3,19.51,352
5991,4/13/2022 2:15,13.3,19.28,353.9
5992,4/13/2022 2:30,13.3,19.08,355.5
5993,4/13/2022 2:45,3.8,18.89,102
5994,4/13/2022 3:00,1.1,18.73,29.6
5995,4/13/2022 3:15,13.3,18.62,359.3
5996,4/13/2022 3:30,3.8,18.63,102.6
5997,4/13/2022 3:45,13.3,18.69,358.8
5998,4/13/2022 4:00,13.3,18.75,358.3
5999,4/13/2022 4:15,13.3,18.82,357.7
6000,4/13/2022 4:30,3,18.85,80.6
6001,4/13/2022 4:45,13.3,18.85,357.5
6002,4/13/2022 5:00,3,18.87,80.6
6003,4/13/2022 5:15,13.3,18.89,357.1
6004,4/13/2022 5:30,13.3,18.89,357.2
6005,4/13/2022 5:45,13.3,18.88,357.2
6006,4/13/2022 6:00,13.3,18.77,358.2
6007,4/13/2022 6:15,13.3,18.55,360
6008,4/13/2022 6:30,3,18.33,81.6
6009,4/13/2022 6:45,3,18.16,82
6010,4/13/2022 7:00,3,18.04,82.2
6011,4/13/2022 7:15,13.3,17.99,364.8
6012,4/13/2022 7:30,3,18.08,82.1
6013,4/13/2022 7:45,3,18.38,81.5
6014,4/13/2022 8:00,9.1,19.3,242.1
6015,4/13/2022 8:15,1.9,20.65,49
6016,4/13/2022 8:30,1.5,22.02,37.5
6017,4/13/2022 8:45,1.1,23.28,26.8
6018,4/13/2022 9:00,1.8,24.4,42.8
6019,4/13/2022 9:15,2.2,25.56,51
6020,4/13/2022 9:30,3.3,27,74.3
6021,4/13/2022 9:45,3,27.71,66.6
6022,4/13/2022 10:00,1.4,28.24,30.7
6023,4/13/2022 10:15,1.8,29.61,38.5
6024,4/13/2022 10:30,10.9,31.1,226.3
6025,4/13/2022 10:45,10.8,32.48,218.4
6026,4/13/2022 11:00,13.1,33.85,258.2
6027,4/13/2022 11:15,13,35.16,250.1
6028,4/13/2022 11:30,13,36.33,244.8
6029,4/13/2022 11:45,2.9,37.23,53.7
6030,4/13/2022 12:00,3.7,36.63,69.3
6031,4/13/2022 12:15,13,36.27,245.1
6032,4/13/2022 12:30,13,36.75,242.9
6033,4/13/2022 12:45,13,37.97,237.6
6034,4/13/2022 13:00,13,39.04,233.1
6035,4/13/2022 13:15,13,39.89,229.5
6036,4/13/2022 13:30,13,40.37,227.6
6037,4/13/2022 13:45,13,40.42,227.4
6038,4/13/2022 14:00,13,39.03,233.1
6039,4/13/2022 14:15,13,37.19,241
6040,4/13/2022 14:30,2.9,35.44,55.5
6041,4/13/2022 14:45,1,34.04,19.6
6042,4/13/2022 15:00,2.9,32.91,58.2
6043,4/13/2022 15:15,13.1,31.96,267.6
6044,4/13/2022 15:30,2.9,31.2,60.1
6045,4/13/2022 15:45,13.1,30.55,275
6046,4/13/2022 16:00,2.9,30.14,61.4
6047,4/13/2022 16:15,13.1,29.93,278.4
6048,4/13/2022 16:30,3.7,29.54,79.2
6049,4/13/2022 16:45,2.9,29.15,62.6
6050,4/13/2022 17:00,13.2,28.83,286.7
6051,4/13/2022 17:15,3,28.5,65.6
6052,4/13/2022 17:30,3,28.2,66
6053,4/13/2022 17:45,13.2,27.88,292.2
6054,4/13/2022 18:00,3,27.59,66.8
6055,4/13/2022 18:15,3.7,27.27,82.9
6056,4/13/2022 18:30,13.2,27,297.5
6057,4/13/2022 18:45,13.2,26.81,298.7
6058,4/13/2022 19:00,13.2,26.57,300.2
6059,4/13/2022 19:15,3,26.22,68.7
6060,4/13/2022 19:30,3,25.84,69.3
6061,4/13/2022 19:45,3,25.4,69.9
6062,4/13/2022 20:00,3,25,70.5
6063,4/13/2022 20:15,13.2,24.69,312.2
6064,4/13/2022 20:30,3.7,24.39,88.1
6065,4/13/2022 20:45,3,24.19,71.7
6066,4/13/2022 21:00,3,24.02,72
6067,4/13/2022 21:15,13.2,23.82,318.1
6068,4/13/2022 21:30,1.1,23.57,26.6
6069,4/13/2022 21:45,3,23.29,73.1
6070,4/13/2022 22:00,3,23.02,73.6
6071,4/13/2022 22:15,13.3,22.72,328.2
6072,4/13/2022 22:30,3,22.41,74.5
6073,4/13/2022 22:45,1.1,22.12,27.5
6074,4/13/2022 23:00,3.8,21.85,95.6
6075,4/13/2022 23:15,3,21.6,75.9
6076,4/13/2022 23:30,13.3,21.35,338.3
6077,4/13/2022 23:45,3,21.12,76.7
6078,4/14/2022 0:00,1.1,20.92,28.3
6079,4/14/2022 0:15,13.3,20.74,343
6080,4/14/2022 0:30,1.1,20.57,28.5
6081,4/14/2022 0:45,13.3,20.46,345.2
6082,4/14/2022 1:00,3,20.44,77.9
6083,4/14/2022 1:15,3,20.49,77.8
6084,4/14/2022 1:30,13.3,20.55,344.5
6085,4/14/2022 1:45,3,20.57,77.7
6086,4/14/2022 2:00,3,20.62,77.6
6087,4/14/2022 2:15,13.3,20.67,343.6
6088,4/14/2022 2:30,13.3,20.67,343.6
6089,4/14/2022 2:45,13.3,20.64,343.8
6090,4/14/2022 3:00,3,20.6,77.6
6091,4/14/2022 3:15,3,20.57,77.7
6092,4/14/2022 3:30,13.3,20.54,344.6
6093,4/14/2022 3:45,3.8,20.49,98.6
6094,4/14/2022 4:00,3.8,20.37,98.9
6095,4/14/2022 4:15,13.3,20.16,347.6
6096,4/14/2022 4:30,13.3,20,348.9
6097,4/14/2022 4:45,13.3,19.88,349.9
6098,4/14/2022 5:00,3.8,19.81,100.1
6099,4/14/2022 5:15,13.3,19.8,350.5
6100,4/14/2022 5:30,3,19.78,79.1
6101,4/14/2022 5:45,3,19.69,79.3
6102,4/14/2022 6:00,13.3,19.49,353
6103,4/14/2022 6:15,3,19.27,80
6104,4/14/2022 6:30,13.3,19.1,356.2
6105,4/14/2022 6:45,3,18.95,80.6
6106,4/14/2022 7:00,13.3,18.87,358.2
6107,4/14/2022 7:15,3,18.84,80.8
6108,4/14/2022 7:30,3.8,18.93,102.2
6109,4/14/2022 7:45,3.8,19.18,101.6
6110,4/14/2022 8:00,13.3,20.01,348.9
6111,4/14/2022 8:15,2.6,21.35,66.2
6112,4/14/2022 8:30,0.7,22.78,17.3
6113,4/14/2022 8:45,1.1,23.79,26.6
6114,4/14/2022 9:00,1.8,25.24,42.1
6115,4/14/2022 9:15,2.2,26.48,50.2
6116,4/14/2022 9:30,1.1,27.92,24.4
6117,4/14/2022 9:45,13.1,29.04,283.8
6118,4/14/2022 10:00,13.1,29.96,278.7
6119,4/14/2022 10:15,13.1,31.06,272.8
6120,4/14/2022 10:30,3.7,32.54,74.9
6121,4/14/2022 10:45,13.1,33.6,259.9
6122,4/14/2022 11:00,13.1,34.41,256.1
6123,4/14/2022 11:15,13.1,34.99,253.3
6124,4/14/2022 11:30,13,35.25,250.2
6125,4/14/2022 11:45,2.9,35.51,55.5
6126,4/14/2022 12:00,13,35.47,249.2
6127,4/14/2022 12:15,13,35.91,247.2
6128,4/14/2022 12:30,13,36.26,245.6
6129,4/14/2022 12:45,13,36.04,246.6
6130,4/14/2022 13:00,3.7,35.94,70.3
6131,4/14/2022 13:15,13,36.07,246.5
6132,4/14/2022 13:30,1,36.36,18.9
6133,4/14/2022 13:45,2.9,35.45,55.6
6134,4/14/2022 14:00,13.1,34.84,254.1
6135,4/14/2022 14:15,13.1,34.34,256.5
6136,4/14/2022 14:30,3.7,34.26,72.5
6137,4/14/2022 14:45,13.1,33.85,258.8
6138,4/14/2022 15:00,13.1,33.65,259.8
6139,4/14/2022 15:15,1,33.39,19.9
6140,4/14/2022 15:30,13.1,33.09,262.6
6141,4/14/2022 15:45,13.1,32.74,264.3
6142,4/14/2022 16:00,13.1,32.48,265.6
6143,4/14/2022 16:15,1,32.18,20.4
6144,4/14/2022 16:30,13.1,31.75,269.3
6145,4/14/2022 16:45,1.1,31.41,22.8
6146,4/14/2022 17:00,13.1,31.17,272.4
6147,4/14/2022 17:15,3.7,30.86,77.4
6148,4/14/2022 17:30,13.1,30.59,275.5
6149,4/14/2022 17:45,13.1,30.08,278.2
6150,4/14/2022 18:00,13.1,29.68,280.4
6151,4/14/2022 18:15,3.7,29.15,80
6152,4/14/2022 18:30,3,28.63,65.6
6153,4/14/2022 18:45,13.2,28.17,291.2
6154,4/14/2022 19:00,3.7,27.69,82.4
6155,4/14/2022 19:15,3,27.22,67.5
6156,4/14/2022 19:30,3,26.7,68.2
6157,4/14/2022 19:45,3,26.22,68.9
6158,4/14/2022 20:00,1.1,25.79,25.5
6159,4/14/2022 20:15,13.2,25.39,308.3
6160,4/14/2022 20:30,3,25.03,70.6
6161,4/14/2022 20:45,1.1,24.7,26.1
6162,4/14/2022 21:00,13.2,24.39,314.9
6163,4/14/2022 21:15,3.7,24.09,88.8
6164,4/14/2022 21:30,13.2,23.82,318.8
6165,4/14/2022 21:45,13.2,23.59,320.4
6166,4/14/2022 22:00,13.2,23.37,321.9
6167,4/14/2022 22:15,1.1,23.17,26.9
6168,4/14/2022 22:30,3,22.99,73.8
6169,4/14/2022 22:45,3.7,22.87,91.2
6170,4/14/2022 23:00,3.7,22.81,91.3
6171,4/14/2022 23:15,3,22.68,74.3
6172,4/14/2022 23:30,3,22.49,74.6
6173,4/14/2022 23:45,13.3,22.2,332.8
6174,4/15/2022 0:00,3,21.85,75.6
6175,4/15/2022 0:15,13.3,22.23,332.6
6176,4/15/2022 0:30,11,22.27,274.8
6177,4/15/2022 0:45,2.6,22.25,65
6178,4/15/2022 1:00,2.6,22.13,65.2
6179,4/15/2022 1:15,1.5,22.01,37.7
6180,4/15/2022 1:30,1.5,21.56,38.1
6181,4/15/2022 1:45,11,20.65,284.9
6182,4/15/2022 2:00,3,19.74,79.3
6183,4/15/2022 2:15,13.3,19.09,357
6184,4/15/2022 2:30,13.3,18.58,361.2
6185,4/15/2022 2:45,13.3,18.17,364.7
6186,4/15/2022 3:00,13.3,17.83,367.6
6187,4/15/2022 3:15,13.3,17.61,369.5
6188,4/15/2022 3:30,3,17.43,83.7
6189,4/15/2022 3:45,13.3,17.31,372.2
6190,4/15/2022 4:00,13.3,17.15,373.6
6191,4/15/2022 4:15,13.3,16.97,375.2
6192,4/15/2022 4:30,13.4,16.83,379.3
6193,4/15/2022 4:45,13.4,16.68,380.7
6194,4/15/2022 5:00,13.4,16.58,381.6
6195,4/15/2022 5:15,13.4,16.38,383.5
6196,4/15/2022 5:30,13.4,16.01,386.9
6197,4/15/2022 5:45,13.4,15.65,390.3
6198,4/15/2022 6:00,3,15.34,88.1
6199,4/15/2022 6:15,13.4,15.14,395.2
6200,4/15/2022 6:30,13.4,14.94,397.2
6201,4/15/2022 6:45,3,14.74,89.4
6202,4/15/2022 7:00,3,14.69,89.5
6203,4/15/2022 7:15,3,14.76,89.3
6204,4/15/2022 7:30,3,14.8,89.2
6205,4/15/2022 7:45,13.4,14.95,397.1
6206,4/15/2022 8:00,13.4,15.66,390.3
6207,4/15/2022 8:15,11.1,16.97,313.3
6208,4/15/2022 8:30,1.1,18.59,29.9
6209,4/15/2022 8:45,1.1,20.06,28.9
6210,4/15/2022 9:00,2.2,21.48,56
6211,4/15/2022 9:15,5.6,22.84,138.3
6212,4/15/2022 9:30,9.4,24.07,226
6213,4/15/2022 9:45,14.3,25.37,334.6
6214,4/15/2022 10:00,18.9,26.73,429.9
6215,4/15/2022 10:15,21.1,27.99,467.8
6216,4/15/2022 10:30,21.1,28.6,462.1
6217,4/15/2022 10:45,19.9,29.33,429.6
6218,4/15/2022 11:00,19.9,29.83,425.4
6219,4/15/2022 11:15,20.7,30.71,435
6220,4/15/2022 11:30,21.4,31.58,442.2
6221,4/15/2022 11:45,22.1,32.59,448
6222,4/15/2022 12:00,22.9,33.37,457.4
6223,4/15/2022 12:15,24.7,34.15,486.2
6224,4/15/2022 12:30,25.1,34.59,490.1
6225,4/15/2022 12:45,25.1,35.24,484.3
6226,4/15/2022 13:00,24.7,35.61,473.4
6227,4/15/2022 13:15,25,36.36,472.6
6228,4/15/2022 13:30,26.2,36.63,492.9
6229,4/15/2022 13:45,25.8,36.86,483.3
6230,4/15/2022 14:00,20.2,34.99,391.6
6231,4/15/2022 14:15,6.3,32.99,126.8
6232,4/15/2022 14:30,3.7,31.4,76.7
6233,4/15/2022 14:45,13.1,29.79,280.3
6234,4/15/2022 15:00,3,28.22,66.2
6235,4/15/2022 15:15,3,26.96,67.9
6236,4/15/2022 15:30,13.2,26.05,304.6
6237,4/15/2022 15:45,3,25.32,70.3
6238,4/15/2022 16:00,13.2,24.93,311.9
6239,4/15/2022 16:15,13.2,25.16,310.4
6240,4/15/2022 16:30,13.2,24.59,314.1
6241,4/15/2022 16:45,13.2,24.03,317.9
6242,4/15/2022 17:00,3.7,23.53,90.1
6243,4/15/2022 17:15,13.2,23.06,324.6
6244,4/15/2022 17:30,13.3,22.77,329.2
6245,4/15/2022 17:45,13.3,22.39,331.9
6246,4/15/2022 18:00,13.3,22.02,334.6
6247,4/15/2022 18:15,3,21.62,76.2
6248,4/15/2022 18:30,3,21.25,76.8
6249,4/15/2022 18:45,13.3,20.85,343.5
6250,4/15/2022 19:00,3,20.45,78.2
6251,4/15/2022 19:15,3,20.06,78.9
6252,4/15/2022 19:30,3,19.69,79.5
6253,4/15/2022 19:45,3,19.29,80.3
6254,4/15/2022 20:00,13.3,18.85,359.5
6255,4/15/2022 20:15,13.3,18.4,363.3
6256,4/15/2022 20:30,13.3,17.98,366.9
6257,4/15/2022 20:45,3,17.57,83.6
6258,4/15/2022 21:00,3,17.16,84.4
6259,4/15/2022 21:15,13.4,16.73,380.8
6260,4/15/2022 21:30,3,16.36,86
6261,4/15/2022 21:45,1.1,16.02,31.8
6262,4/15/2022 22:00,13.4,15.71,390.3
6263,4/15/2022 22:15,13.4,15.41,393.2
6264,4/15/2022 22:30,3,15.13,88.6
6265,4/15/2022 22:45,13.4,14.85,398.7
6266,4/15/2022 23:00,3,14.53,90
6267,4/15/2022 23:15,3,14.27,90.6
6268,4/15/2022 23:30,3,14.05,91.1
6269,4/15/2022 23:45,3,13.87,91.5
6270,4/16/2022 0:00,3,13.69,91.9
6271,4/16/2022 0:15,3,13.57,92.2
6272,4/16/2022 0:30,3.8,13.49,117
6273,4/16/2022 0:45,3,13.37,92.6
6274,4/16/2022 1:00,1.1,13.22,34.1
6275,4/16/2022 1:15,3,13.04,93.4
6276,4/16/2022 1:30,3,12.88,93.8
6277,4/16/2022 1:45,3,12.72,94.2
6278,4/16/2022 2:00,13.4,12.56,422.4
6279,4/16/2022 2:15,3,12.43,94.9
6280,4/16/2022 2:30,13.4,12.3,425.3
6281,4/16/2022 2:45,13.4,12.17,426.7
6282,4/16/2022 3:00,1.1,12.05,35.1
6283,4/16/2022 3:15,3,11.93,96.1
6284,4/16/2022 3:30,3,11.86,96.3
6285,4/16/2022 3:45,13.4,11.78,431.1
6286,4/16/2022 4:00,1.1,11.73,35.4
6287,4/16/2022 4:15,3.1,11.68,100
6288,4/16/2022 4:30,13.4,11.65,432.6
6289,4/16/2022 4:45,3.1,11.65,100.1
6290,4/16/2022 5:00,3.1,11.67,100
6291,4/16/2022 5:15,13.4,11.72,431.8
6292,4/16/2022 5:30,3.1,11.77,99.8
6293,4/16/2022 5:45,3,11.85,96.4
6294,4/16/2022 6:00,3,11.9,96.2
6295,4/16/2022 6:15,3,11.97,96.1
6296,4/16/2022 6:30,13.4,12.05,428.2
6297,4/16/2022 6:45,3,12.13,95.7
6298,4/16/2022 7:00,13.4,12.28,425.7
6299,4/16/2022 7:15,13.4,12.47,423.6
6300,4/16/2022 7:30,13.4,12.68,421.4
6301,4/16/2022 7:45,13.4,12.94,418.6
6302,4/16/2022 8:00,13.4,13.26,415.2
6303,4/16/2022 8:15,13.4,13.58,411.9
6304,4/16/2022 8:30,13.4,14.07,406.8
6305,4/16/2022 8:45,11.1,14.64,332.3
6306,4/16/2022 9:00,2.6,15.06,77
6307,4/16/2022 9:15,0.7,15.49,20.5
6308,4/16/2022 9:30,0.7,16.04,20.2
6309,4/16/2022 9:45,0,16.61,-1.1
6310,4/16/2022 10:00,0.7,17.33,19.6
6311,4/16/2022 10:15,1.1,18.18,30.2
6312,4/16/2022 10:30,1.9,19.18,51
6313,4/16/2022 10:45,3,20.75,77.8
6314,4/16/2022 11:00,6.4,22.26,160.4
6315,4/16/2022 11:15,9.1,22.78,225.5
6316,4/16/2022 11:30,12.9,22.57,321.2
6317,4/16/2022 11:45,16.7,22.53,416.2
6318,4/16/2022 12:00,18.2,22.41,454.8
6319,4/16/2022 12:15,19,22.2,477
6320,4/16/2022 12:30,19.4,22.01,489
6321,4/16/2022 12:45,20.5,21.75,519.8
6322,4/16/2022 13:00,21.2,22.71,526.3
6323,4/16/2022 13:15,21.6,23.13,531.4
6324,4/16/2022 13:30,22,23.42,537.8
6325,4/16/2022 13:45,21.6,23.34,529
6326,4/16/2022 14:00,21.6,23.21,530.5
6327,4/16/2022 14:15,22.4,24.04,540.4
6328,4/16/2022 14:30,23.5,25.01,555.4
6329,4/16/2022 14:45,23.1,25.46,540.9
6330,4/16/2022 15:00,22.3,25.36,523.2
6331,4/16/2022 15:15,21.6,25.19,508.6
6332,4/16/2022 15:30,21.6,25.52,505.1
6333,4/16/2022 15:45,22.3,25.89,517.5
6334,4/16/2022 16:00,21.2,25.96,491.3
6335,4/16/2022 16:15,21.2,26.1,489.9
6336,4/16/2022 16:30,21.2,26.17,489.2
6337,4/16/2022 16:45,20.8,26.06,481
6338,4/16/2022 17:00,20.8,25.96,482.1
6339,4/16/2022 17:15,20,25.75,465.5
6340,4/16/2022 17:30,20,25.66,466.4
6341,4/16/2022 17:45,19.3,25.56,451.1
6342,4/16/2022 18:00,19.3,25.15,455
6343,4/16/2022 18:15,18.9,24.88,448.1
6344,4/16/2022 18:30,18.2,24.53,434.7
6345,4/16/2022 18:45,17.8,24.12,428.9
6346,4/16/2022 19:00,17.4,23.64,423.6
6347,4/16/2022 19:15,16.7,23.14,411
6348,4/16/2022 19:30,15.5,22.68,385.3
6349,4/16/2022 19:45,14.4,22.25,361.3
6350,4/16/2022 20:00,13.3,21.93,336.1
6351,4/16/2022 20:15,12.1,21.62,307.9
6352,4/16/2022 20:30,10.6,21.36,271.3
6353,4/16/2022 20:45,9.1,21.14,234
6354,4/16/2022 21:00,7.9,20.92,204.2
6355,4/16/2022 21:15,6,20.67,156
6356,4/16/2022 21:30,4.1,20.49,107
6357,4/16/2022 21:45,2.2,20.34,57.6
6358,4/16/2022 22:00,1.1,20.21,28.9
6359,4/16/2022 22:15,1.1,20.08,29
6360,4/16/2022 22:30,2.6,19.91,68.8
6361,4/16/2022 22:45,9.1,19.8,241.3
6362,4/16/2022 23:00,9.1,19.74,241.6
6363,4/16/2022 23:15,13.3,19.65,353.9
6364,4/16/2022 23:30,11,19.59,293.1
6365,4/16/2022 23:45,11,19.54,293.4
6366,4/17/2022 0:00,11,19.49,293.8
6367,4/17/2022 0:15,13.3,19.45,355.5
6368,4/17/2022 0:30,13.3,19.39,356
6369,4/17/2022 0:45,11,19.35,294.7
6370,4/17/2022 1:00,13.3,19.31,356.7
6371,4/17/2022 1:15,13.3,19.28,356.9
6372,4/17/2022 1:30,11,19.23,295.6
6373,4/17/2022 1:45,13.3,19.2,357.6
6374,4/17/2022 2:00,13.3,19.14,358.1
6375,4/17/2022 2:15,13.3,19.08,358.6
6376,4/17/2022 2:30,13.3,19.03,359
6377,4/17/2022 2:45,13.3,19.02,359.1
6378,4/17/2022 3:00,11,19,297.2
6379,4/17/2022 3:15,13.3,18.97,359.6
6380,4/17/2022 3:30,11,18.94,297.6
6381,4/17/2022 3:45,11,18.94,297.6
6382,4/17/2022 4:00,11,18.92,297.7
6383,4/17/2022 4:15,13.3,18.85,360.6
6384,4/17/2022 4:30,13.3,18.77,361.3
6385,4/17/2022 4:45,13.3,18.64,362.4
6386,4/17/2022 5:00,11,18.57,300.2
6387,4/17/2022 5:15,13.3,18.47,363.8
6388,4/17/2022 5:30,13.3,18.38,364.6
6389,4/17/2022 5:45,13.3,18.32,365.1
6390,4/17/2022 6:00,13.3,18.23,365.9
6391,4/17/2022 6:15,13.3,18.11,366.9
6392,4/17/2022 6:30,13.3,17.98,368
6393,4/17/2022 6:45,3,17.83,83.3
6394,4/17/2022 7:00,13.3,17.74,370.1
6395,4/17/2022 7:15,13.3,17.73,370.2
6396,4/17/2022 7:30,13.3,17.82,369.5
6397,4/17/2022 7:45,11,17.97,304.5
6398,4/17/2022 8:00,9.1,18.54,248.6
6399,4/17/2022 8:15,0.7,19.29,18.8
6400,4/17/2022 8:30,1.1,19.78,29.2
6401,4/17/2022 8:45,1.1,20.37,28.8
6402,4/17/2022 9:00,1.8,22.07,45.4
6403,4/17/2022 9:15,3.4,23.01,84
6404,4/17/2022 9:30,6,24.76,142.8
6405,4/17/2022 9:45,12.1,26.67,276.8
6406,4/17/2022 10:00,16.6,27.93,370.1
6407,4/17/2022 10:15,20.7,28.78,453.7
6408,4/17/2022 10:30,27.9,30.06,596.3
6409,4/17/2022 10:45,27.5,30.57,581.9
6410,4/17/2022 11:00,25.2,30.45,534.5
6411,4/17/2022 11:15,24.4,30.87,513.3
6412,4/17/2022 11:30,24.8,31.23,518.2
6413,4/17/2022 11:45,26.3,32.52,536.1
6414,4/17/2022 12:00,27,33.78,537.5
6415,4/17/2022 12:15,28.8,34.94,561.2
6416,4/17/2022 12:30,27.7,35.9,530.3
6417,4/17/2022 12:45,23.9,36.32,454.1
6418,4/17/2022 13:00,17.9,36.72,337.6
6419,4/17/2022 13:15,4.8,37.27,89.6
6420,4/17/2022 13:30,13,37.74,240.7
6421,4/17/2022 13:45,2.9,38.1,53.4
6422,4/17/2022 14:00,13,37.31,242.6
6423,4/17/2022 14:15,13,35.85,249.2
6424,4/17/2022 14:30,13.1,33.99,259.8
6425,4/17/2022 14:45,13.1,31.95,270
6426,4/17/2022 15:00,2.9,30.29,61.7
6427,4/17/2022 15:15,3.7,29.07,80.7
6428,4/17/2022 15:30,13.2,28.25,292.5
6429,4/17/2022 15:45,13.2,27.68,295.9
6430,4/17/2022 16:00,13.2,27.23,298.7
6431,4/17/2022 16:15,13.2,27.46,297.3
6432,4/17/2022 16:30,13.2,26.95,300.4
6433,4/17/2022 16:45,13.2,26.38,303.9
6434,4/17/2022 17:00,13.2,25.8,307.6
6435,4/17/2022 17:15,3,25.25,70.7
6436,4/17/2022 17:30,3,24.64,71.6
6437,4/17/2022 17:45,13.2,23.88,320.4
6438,4/17/2022 18:00,3,23.16,73.9
6439,4/17/2022 18:15,3,22.49,75
6440,4/17/2022 18:30,3,21.86,76.1
6441,4/17/2022 18:45,3,21.22,77.2
6442,4/17/2022 19:00,1.1,20.72,28.6
6443,4/17/2022 19:15,3.8,20.24,99.9
6444,4/17/2022 19:30,13.3,19.63,354.7
6445,4/17/2022 19:45,13.3,18.99,359.9
6446,4/17/2022 20:00,13.3,18.43,364.6
6447,4/17/2022 20:15,1.1,17.94,30.5
6448,4/17/2022 20:30,3,17.57,83.9
6449,4/17/2022 20:45,13.3,17.25,374.9
6450,4/17/2022 21:00,13.3,16.96,377.5
6451,4/17/2022 21:15,3,16.71,85.7
6452,4/17/2022 21:30,3,16.5,86.1
6453,4/17/2022 21:45,3,16.3,86.5
6454,4/17/2022 22:00,13.4,16.11,388.2
6455,4/17/2022 22:15,3,15.92,87.3
6456,4/17/2022 22:30,3,15.71,87.8
6457,4/17/2022 22:45,3,15.49,88.2
6458,4/17/2022 23:00,3,15.16,89
6459,4/17/2022 23:15,3,14.83,89.7
6460,4/17/2022 23:30,3,14.54,90.3
6461,4/17/2022 23:45,3,14.32,90.8
6462,4/18/2022 0:00,3,14.2,91.1
6463,4/18/2022 0:15,3,14.2,91.1
6464,4/18/2022 0:30,13.4,14.23,406.7
6465,4/18/2022 0:45,13.4,14.24,406.6
6466,4/18/2022 1:00,13.4,14.23,406.7
6467,4/18/2022 1:15,3,14.17,91.2
6468,4/18/2022 1:30,3,14.09,91.4
6469,4/18/2022 1:45,13.4,13.98,409.3
6470,4/18/2022 2:00,3,13.9,91.8
6471,4/18/2022 2:15,3,13.89,91.8
6472,4/18/2022 2:30,13.4,13.92,409.9
6473,4/18/2022 2:45,1.1,13.88,33.7
6474,4/18/2022 3:00,3,13.68,92.3
6475,4/18/2022 3:15,13.4,13.45,414.8
6476,4/18/2022 3:30,13.4,13.32,416.2
6477,4/18/2022 3:45,3,13.26,93.3
6478,4/18/2022 4:00,13.4,13.19,417.6
6479,4/18/2022 4:15,3,13.29,93.3
6480,4/18/2022 4:30,13.4,13.39,415.5
6481,4/18/2022 4:45,3,13.47,92.8
6482,4/18/2022 5:00,3,13.48,92.8
6483,4/18/2022 5:15,3,13.49,92.8
6484,4/18/2022 5:30,1.1,13.44,34.1
6485,4/18/2022 5:45,13.4,13.38,415.7
6486,4/18/2022 6:00,3,13.39,93
6487,4/18/2022 6:15,3,13.42,93
6488,4/18/2022 6:30,13.4,13.39,415.6
6489,4/18/2022 6:45,13.4,13.37,415.8
6490,4/18/2022 7:00,13.4,13.37,415.8
6491,4/18/2022 7:15,3,13.39,93
6492,4/18/2022 7:30,3,13.44,92.9
6493,4/18/2022 7:45,13.4,13.55,414
6494,4/18/2022 8:00,13.4,13.74,412
6495,4/18/2022 8:15,13.4,13.95,409.8
6496,4/18/2022 8:30,13.4,14.09,408.4
6497,4/18/2022 8:45,13.4,14.18,407.5
6498,4/18/2022 9:00,13.4,14.04,408.9
6499,4/18/2022 9:15,13.4,13.82,411.2
6500,4/18/2022 9:30,13.4,13.63,413.2
6501,4/18/2022 9:45,11.1,15.4,327.6
6502,4/18/2022 10:00,2.6,16.1,75.4
6503,4/18/2022 10:15,2.6,16.35,75
6504,4/18/2022 10:30,3.8,16.17,110.1
6505,4/18/2022 10:45,2.6,16.06,75.5
6506,4/18/2022 11:00,2.6,16.12,75.4
6507,4/18/2022 11:15,2.6,16.05,75.5
6508,4/18/2022 11:30,2.6,15.75,76.1
6509,4/18/2022 11:45,11.1,15.57,326.3
6510,4/18/2022 12:00,9.2,15.45,271.2
6511,4/18/2022 12:15,11.1,15.4,327.6
6512,4/18/2022 12:30,2.6,15.49,76.6
6513,4/18/2022 12:45,2.6,15.67,76.2
6514,4/18/2022 13:00,0.7,15.85,20.4
6515,4/18/2022 13:15,0.7,15.97,20.4
6516,4/18/2022 13:30,0.7,16.12,20.3
6517,4/18/2022 13:45,1.9,16.32,54.9
6518,4/18/2022 14:00,0,16.5,-1.1
6519,4/18/2022 14:15,1.1,16.61,31.5
6520,4/18/2022 14:30,0.7,17.21,19.8
6521,4/18/2022 14:45,0.3,17.87,8.3
6522,4/18/2022 15:00,1.1,18.19,30.4
6523,4/18/2022 15:15,1.1,18.43,30.2
6524,4/18/2022 15:30,1.5,18.6,41
6525,4/18/2022 15:45,21,18.14,580.7
6526,4/18/2022 16:00,36.7,17.73,1024.7
6527,4/18/2022 16:15,44.8,17.52,1257.1
6528,4/18/2022 16:30,50.5,17.42,1420.4
6529,4/18/2022 16:45,52.8,17.42,1485.1
6530,4/18/2022 17:00,54.4,17.44,1529.5
6531,4/18/2022 17:15,55.1,17.3,1554.3
6532,4/18/2022 17:30,54.4,16.56,1561.9
6533,4/18/2022 17:45,52.9,15.74,1549.3
