#,Date,"Full Range, μS/cm (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)","Temp, °C (LGR S/N: 10104851_10662795_duplicate_duplicate_21113608, SEN S/N: 10104851)",Specific_Conductance
6560,4/19/2022 0:30,30.4,10.38,1021.1
6561,4/19/2022 0:45,29.7,10.28,1000.3
6562,4/19/2022 1:00,28.5,10.19,962.2
6563,4/19/2022 1:15,27,9.98,916.7
6564,4/19/2022 1:30,25.8,9.64,884.1
6565,4/19/2022 1:45,23.5,9.3,812.7
6566,4/19/2022 2:00,21.6,9.03,752.6
6567,4/19/2022 2:15,19.3,8.78,677.1
6568,4/19/2022 2:30,17.4,8.57,613.9
6569,4/19/2022 2:45,15,8.37,532.2
6570,4/19/2022 3:00,12.7,8.18,453
6571,4/19/2022 3:15,11.6,8.03,415.5
6572,4/19/2022 3:30,9.6,7.89,345.2
6573,4/19/2022 3:45,8.1,7.78,292.2
6574,4/19/2022 4:00,6.2,7.66,224.4
6575,4/19/2022 4:15,4.2,7.56,152.4
6576,4/19/2022 4:30,2.7,7.43,98.4
6577,4/19/2022 4:45,1.5,7.33,54.8
6578,4/19/2022 5:00,1.1,7.21,40.3
6579,4/19/2022 5:15,0.8,7.08,29.4
6580,4/19/2022 5:30,11.2,6.98,413.3
6581,4/19/2022 5:45,11.2,6.88,414.4
6582,4/19/2022 6:00,11.2,6.8,415.4
6583,4/19/2022 6:15,13.5,6.66,502.7
6584,4/19/2022 6:30,13.5,6.56,504.2
6585,4/19/2022 6:45,13.5,6.45,505.8
6586,4/19/2022 7:00,3.1,6.37,116.4
6587,4/19/2022 7:15,13.5,6.41,506.4
6588,4/19/2022 7:30,13.5,6.56,504.2
6589,4/19/2022 7:45,3.9,6.9,144.3
6590,4/19/2022 8:00,9.3,7.92,334.3
6591,4/19/2022 8:15,0.8,9.6,27.5
6592,4/19/2022 8:30,1.1,11.46,35.9
6593,4/19/2022 8:45,3.8,13.32,118.3
6594,4/19/2022 9:00,6.9,14.81,207
6595,4/19/2022 9:15,14.1,15.97,411.2
6596,4/19/2022 9:30,19.9,17.12,564.6
6597,4/19/2022 9:45,36.7,18.12,1017
6598,4/19/2022 10:00,65.4,19.41,1758.9
6599,4/19/2022 10:15,67.2,20.36,1768.7
6600,4/19/2022 10:30,64.8,21.3,1670
6601,4/19/2022 10:45,62.1,22.07,1573.4
6602,4/19/2022 11:00,61.6,23.19,1523
6603,4/19/2022 11:15,55.9,24.07,1356.2
6604,4/19/2022 11:30,50.9,24.61,1220.8
6605,4/19/2022 11:45,46.7,24.75,1116.8
6606,4/19/2022 12:00,44.7,25.51,1052.1
6607,4/19/2022 12:15,41.7,25.15,988.9
6608,4/19/2022 12:30,38.7,25.26,915.7
6609,4/19/2022 12:45,37.9,26,883
6610,4/19/2022 13:00,33.4,24.91,796.1
6611,4/19/2022 13:15,31.1,24.38,749.7
6612,4/19/2022 13:30,32.6,25.56,766.6
6613,4/19/2022 13:45,32.2,25.59,756.7
6614,4/19/2022 14:00,28.8,25.01,685.1
6615,4/19/2022 14:15,26.9,24.76,643.3
6616,4/19/2022 14:30,19.7,22.86,490.7
6617,4/19/2022 14:45,9.5,21.26,245.1
6618,4/19/2022 15:00,1.9,20.18,50.2
6619,4/19/2022 15:15,13.3,19.43,357.7
6620,4/19/2022 15:30,3,18.77,81.9
6621,4/19/2022 15:45,13.3,18.37,366.6
6622,4/19/2022 16:00,11,18.54,302
6623,4/19/2022 16:15,13.3,18.97,361.5
6624,4/19/2022 16:30,13.3,18.27,367.5
6625,4/19/2022 16:45,13.3,17.72,372.3
6626,4/19/2022 17:00,13.3,17.25,376.4
6627,4/19/2022 17:15,13.4,16.82,383.2
6628,4/19/2022 17:30,13.4,16.43,386.8
6629,4/19/2022 17:45,13.4,16.07,390.2
6630,4/19/2022 18:00,13.4,15.72,393.5
6631,4/19/2022 18:15,13.4,15.37,396.9
6632,4/19/2022 18:30,3,15.05,89.6
6633,4/19/2022 18:45,3.8,14.74,114.3
6634,4/19/2022 19:00,13.4,14.44,406.1
6635,4/19/2022 19:15,3.8,14.12,116.1
6636,4/19/2022 19:30,3,13.75,92.5
6637,4/19/2022 19:45,1.1,13.39,34.2
6638,4/19/2022 20:00,3,13.01,94.3
6639,4/19/2022 20:15,13.4,12.57,425.8
6640,4/19/2022 20:30,13.4,12.1,431
6641,4/19/2022 20:45,3.1,11.65,100.9
6642,4/19/2022 21:00,3.1,11.22,102
6643,4/19/2022 21:15,3.1,10.84,103.1
6644,4/19/2022 21:30,3.1,10.51,104
6645,4/19/2022 21:45,3.1,10.21,104.8
6646,4/19/2022 22:00,13.5,9.9,460.2
6647,4/19/2022 22:15,3.8,9.64,130.5
6648,4/19/2022 22:30,3.1,9.38,107.2
6649,4/19/2022 22:45,3.1,9.14,107.9
6650,4/19/2022 23:00,3.8,8.92,133
6651,4/19/2022 23:15,1.1,8.72,38.7
6652,4/19/2022 23:30,3.8,8.53,134.5
6653,4/19/2022 23:45,1.1,8.34,39.1
6654,4/20/2022 0:00,3.8,8.14,135.9
6655,4/20/2022 0:15,3.1,7.97,111.4
6656,4/20/2022 0:30,1.1,7.79,39.7
6657,4/20/2022 0:45,13.5,7.61,490.2
6658,4/20/2022 1:00,3.1,7.43,113.1
6659,4/20/2022 1:15,3.1,7.26,113.7
6660,4/20/2022 1:30,3.1,7.1,114.2
6661,4/20/2022 1:45,13.5,6.95,499.5
6662,4/20/2022 2:00,3.1,6.81,115.1
6663,4/20/2022 2:15,13.5,6.66,503.6
6664,4/20/2022 2:30,3.1,6.53,116.1
6665,4/20/2022 2:45,3.1,6.41,116.5
6666,4/20/2022 3:00,3.1,6.27,117
6667,4/20/2022 3:15,3.1,6.16,117.3
6668,4/20/2022 3:30,3.1,6.05,117.7
6669,4/20/2022 3:45,3.1,5.95,118
6670,4/20/2022 4:00,3.1,5.87,118.3
6671,4/20/2022 4:15,3.1,5.8,118.6
6672,4/20/2022 4:30,3.1,5.72,118.8
6673,4/20/2022 4:45,3.1,5.67,119
6674,4/20/2022 5:00,1.2,5.6,46.2
6675,4/20/2022 5:15,3.1,5.57,119.4
6676,4/20/2022 5:30,13.5,5.5,520.9
6677,4/20/2022 5:45,13.5,5.44,521.8
6678,4/20/2022 6:00,3.1,5.38,120
6679,4/20/2022 6:15,13.5,5.31,523.8
6680,4/20/2022 6:30,1.2,5.25,46.6
6681,4/20/2022 6:45,13.5,5.25,524.8
6682,4/20/2022 7:00,13.5,5.31,523.9
6683,4/20/2022 7:15,13.5,5.49,521.1
6684,4/20/2022 7:30,3.1,5.79,118.6
6685,4/20/2022 7:45,13.5,6.31,508.9
6686,4/20/2022 8:00,13.5,7.46,492.6
6687,4/20/2022 8:15,2.7,9.32,93.6
6688,4/20/2022 8:30,0.7,11.58,22.8
6689,4/20/2022 8:45,2.3,13.9,70.7
6690,4/20/2022 9:00,8,15.92,234.1
6691,4/20/2022 9:15,11.4,17.79,319
6692,4/20/2022 9:30,30.1,19.49,809.8
6693,4/20/2022 9:45,40.4,21.02,1049.9
6694,4/20/2022 10:00,41.5,22.39,1046.3
